"site","year","frost_days","first_frost_day","last_frost_day","lat","lon"
"Hamilton (Waikato)",1977,20,"1977-04-22","1977-09-12",-37.86088,175.33175
"Hokitika (West Coast)",1977,14,"1977-05-19","1977-09-22",-42.71228,170.98428
"Invercargill (Southland)",1977,44,"1977-05-08","1977-09-13",-46.41741,168.33052
"Kerikeri (Northland)",1977,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1977,108,"1977-05-07","1977-11-09",-44.002,170.441
"Masterton (Wellington)",1977,20,"1977-05-18","1977-11-08",-40.957,175.707
"Milford Sound (Southland)",1977,40,"1977-05-08","1977-09-11",-44.67384,167.92406
"Napier (Hawke's Bay)",1977,9,"1977-06-01","1977-09-12",-39.49846,176.91189
"Nelson (Nelson)",1977,23,"1977-05-19","1977-09-11",-41.299,173.226
"New Plymouth (Taranaki)",1977,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1977,90,"1977-04-25","1977-11-07",-45.01758,168.74005
"Reefton (West Coast)",1977,67,"1977-04-22","1977-09-25",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1977,18,"1977-05-09","1977-11-02",-38.10595,176.31485
"Tara Hills (Canterbury)",1977,153,"1977-03-20","1977-11-25",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1977,46,"1977-04-22","1977-11-02",-38.88784,175.25981
"Taupō (Waikato)",1977,42,"1977-05-05","1977-11-02",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1977,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1977,54,"1977-05-07","1977-10-13",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1977,64,"1977-01-15","1977-11-26",-39.46249,175.66283
"Wellington (Wellington)",1977,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1977,3,"1977-07-09","1977-08-06",-39.93704,175.04509
"Whangaparāoa (Auckland)",1977,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1977,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1976,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1976,48,"1976-05-02","1976-11-11",-41.52133,173.86439
"Christchurch (Canterbury)",1976,60,"1976-04-22","1976-11-11",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1976,15,"1976-05-24","1976-11-08",-40.21,176.109
"Dunedin (Otago)",1976,8,"1976-06-07","1976-09-04",-45.90129,170.5147
"Gisborne (Gisborne)",1976,10,"1976-05-24","1976-08-03",-38.6586,177.9851
"Gore (Southland)",1976,58.974137931034484,"1976-01-18","1976-11-11",-46.115,168.887
