Station,Date(NZST),Percent(%),Depth(cm)
3925,20190131:0600,34.4,20
3925,20190131:0700,34.4,20
3925,20190131:0800,34.4,20
3925,20190131:0900,34.4,20
3925,20190131:1000,34.3,20
3925,20190131:1100,34.3,20
3925,20190131:1200,34.4,20
3925,20190131:1300,34.3,20
3925,20190131:1400,34.1,20
3925,20190131:1500,34.1,20
3925,20190131:1600,33.9,20
3925,20190131:1700,33.8,20
3925,20190131:1800,33.9,20
3925,20190131:1900,33.8,20
3925,20190131:2000,33.7,20
3925,20190131:2100,33.6,20
3925,20190131:2200,33.5,20
3925,20190131:2300,33.6,20
3925,20190201:0000,33.7,20
3925,20190201:0100,33.7,20
3925,20190201:0200,33.7,20
3925,20190201:0300,33.5,20
3925,20190201:0400,33.6,20
3925,20190201:0500,33.7,20
3925,20190201:0600,33.6,20
3925,20190201:0700,33.8,20
3925,20190201:0800,33.8,20
3925,20190201:0900,33.8,20
3925,20190201:1000,33.6,20
3925,20190201:1100,33.6,20
3925,20190201:1200,33.6,20
3925,20190201:1300,33.6,20
3925,20190201:1400,33.6,20
3925,20190201:1500,33.6,20
3925,20190201:1600,34,20
3925,20190201:1700,34,20
3925,20190201:1800,34,20
3925,20190201:1900,34,20
3925,20190201:2000,34,20
3925,20190201:2100,34,20
3925,20190201:2200,34,20
3925,20190201:2300,34,20
3925,20190202:0000,34,20
3925,20190202:0100,34.1,20
3925,20190202:0200,34,20
3925,20190202:0300,34,20
3925,20190202:0400,34,20
3925,20190202:0500,34,20
3925,20190202:0600,34,20
3925,20190202:0700,34,20
3925,20190202:0800,34.1,20
3925,20190202:0900,34,20
3925,20190202:1000,34.1,20
3925,20190202:1100,33.9,20
3925,20190202:1200,33.9,20
3925,20190202:1300,33.9,20
3925,20190202:1400,33.9,20
3925,20190202:1500,33.8,20
3925,20190202:1600,33.8,20
3925,20190202:1700,33.8,20
3925,20190202:1800,33.7,20
3925,20190202:1900,33.8,20
3925,20190202:2000,33.8,20
3925,20190202:2100,33.7,20
3925,20190202:2200,33.7,20
3925,20190202:2300,33.6,20
3925,20190203:0000,33.7,20
3925,20190203:0100,33.7,20
3925,20190203:0200,33.7,20
3925,20190203:0300,33.8,20
3925,20190203:0400,33.5,20
3925,20190203:0500,33.5,20
3925,20190203:0600,33.6,20
3925,20190203:0700,33.6,20
3925,20190203:0800,33.6,20
3925,20190203:0900,33.6,20
3925,20190203:1000,33.6,20
3925,20190203:1100,33.7,20
3925,20190203:1200,33.5,20
3925,20190203:1300,33.6,20
3925,20190203:1400,33.5,20
3925,20190203:1500,33.4,20
3925,20190203:1600,33.4,20
3925,20190203:1700,33.2,20
3925,20190203:1800,33.1,20
3925,20190203:1900,33.1,20
3925,20190203:2000,33.2,20
3925,20190203:2100,32.9,20
3925,20190203:2200,32.9,20
3925,20190203:2300,33.1,20
3925,20190204:0000,33.2,20
3925,20190204:0100,33.2,20
3925,20190204:0200,32.9,20
3925,20190204:0300,32.9,20
3925,20190204:0400,32.9,20
3925,20190204:0500,32.8,20
3925,20190204:0600,33.1,20
3925,20190204:0700,33.2,20
3925,20190204:0800,33.2,20
3925,20190204:0900,33.2,20
3925,20190204:1000,32.9,20
3925,20190204:1100,32.9,20
3925,20190204:1200,32.9,20
3925,20190204:1300,32.6,20
3925,20190204:1400,32.7,20
3925,20190204:1500,32.7,20
3925,20190204:1600,32.6,20
3925,20190204:1700,32.5,20
3925,20190204:1800,32.4,20
3925,20190204:1900,32.4,20
3925,20190204:2000,32.1,20
3925,20190204:2100,32.2,20
3925,20190204:2200,32.2,20
3925,20190204:2300,32.2,20
3925,20190205:0000,32.2,20
3925,20190205:0100,32.2,20
3925,20190205:0200,32.4,20
3925,20190205:0300,32.4,20
3925,20190205:0400,32.2,20
3925,20190205:0500,32.1,20
3925,20190205:0600,32.1,20
3925,20190205:0700,32.1,20
3925,20190205:0800,32.2,20
3925,20190205:0900,32.2,20
3925,20190205:1000,32.2,20
3925,20190205:1100,32.3,20
3925,20190205:1200,32.1,20
3925,20190205:1300,32.2,20
3925,20190205:1400,32.2,20
3925,20190205:1500,32.2,20
3925,20190205:1600,32.3,20
3925,20190205:1700,32.2,20
3925,20190205:1800,32.3,20
3925,20190205:1900,32.2,20
3925,20190205:2000,32.2,20
3925,20190205:2100,32.2,20
3925,20190205:2200,32.3,20
3925,20190205:2300,32.3,20
3925,20190206:0000,32.2,20
3925,20190206:0100,32,20
3925,20190206:0200,32.2,20
3925,20190206:0300,32.2,20
3925,20190206:0400,32.3,20
3925,20190206:0500,32.3,20
3925,20190206:0600,32.3,20
3925,20190206:0700,32.2,20
3925,20190206:0800,32.3,20
3925,20190206:0900,32.3,20
3925,20190206:1000,32.3,20
